pos,row,outcome
QB,Jalen Hurts PHI,tier3_single
QB,Lamar Jackson BAL,tier3_single
QB,Jayden Daniels WAS,tier3_single
QB,Josh Allen BUF,tier3_single
QB,Joe Burrow CIN,tier3_single
QB,Baker Mayfield TB,unresolved
QB,Patrick Mahomes II KC,unresolved
QB,Bo Nix DEN,tier3_single
QB,Kyler Murray MIN,unresolved
QB,Trevor Lawrence JAC,tier3_single
QB,Drake Maye NE,unresolved
QB,Brock Purdy SF,unresolved
QB,Dak Prescott DAL,tier3_single
QB,Jordan Love GB,unresolved
QB,Justin Fields KC,unresolved
QB,Justin Herbert LAC,tier3_single
QB,J.J. McCarthy MIN,tier3_single
QB,Tua Tagovailoa ATL,unresolved
QB,Jared Goff DET,tier3_single
QB,C.J. Stroud HOU,tier3_single
QB,Caleb Williams CHI,tier3_single
QB,Geno Smith NYJ,unresolved
QB,Daniel Jones IND,tier3_single
QB,Bryce Young CAR,tier3_single
QB,Michael Penix Jr. ATL,tier3_single
QB,Matthew Stafford LAR,tier3_single
QB,Sam Darnold SEA,tier3_single
QB,Joe Flacco CIN,tier3_single
QB,Cam Ward TEN,tier3_single
QB,Spencer Rattler NO,unresolved
QB,Jalen Milroe SEA,tier3_single
QB,Mason Rudolph PIT,tier3_single
QB,Jaxson Dart NYG,tier3_single
QB,Jake Browning TB,unresolved
QB,Marcus Mariota WAS,tier3_single
QB,Nick Mullens JAC,tier3_single
QB,Zach Wilson NO,unresolved
QB,Gardner Minshew II ARI,unresolved
QB,Jacoby Brissett ARI,tier3_single
QB,Carson Wentz MIN,tier3_single
QB,Jarrett Stidham DEN,tier3_single
QB,Mac Jones SF,unresolved
QB,Sam Howell DAL,unresolved
QB,Malik Willis MIA,unresolved
QB,Jimmy Garoppolo LAR,tier3_single
QB,Joe Milton III DAL,tier3_single
QB,Andy Dalton PHI,unresolved
QB,Davis Mills HOU,tier3_single
QB,Mitchell Trubisky TEN,unresolved
QB,Kenny Pickett CAR,unresolved
QB,Kirk Cousins LV,unresolved
QB,Tyson Bagent CHI,tier3_single
QB,Teddy Bridgewater DET,unresolved
QB,Tyler Shough NO,unresolved
QB,Brandon Allen NYG,unresolved
QB,Anthony Richardson Sr. IND,tier3_single
QB,Drew Lock SEA,tier3_single
QB,Dillon Gabriel CLE,tier3_single
QB,Trey Lance LAC,tier3_single
QB,Kyle Allen BUF,unresolved
QB,Josh Johnson CIN,unresolved
QB,Case Keenum CHI,tier3_single
QB,Jameis Winston NYG,tier3_single
QB,Trevor Siemian ATL,unresolved
QB,Jeff Driskel WAS,tier3_single
QB,Deshaun Watson CLE,tier3_single
QB,Tyler Huntley BAL,tier3_single
QB,Shane Buechele BUF,tier3_single
QB,Sam Ehlinger DEN,tier3_single
QB,Sean Clifford CIN,tier3_single
QB,Desmond Ridder GB,unresolved
QB,Will Levis TEN,tier3_single
QB,Kyle McCord GB,unresolved
QB,Graham Mertz HOU,tier3_single
QB,Quinn Ewers MIA,tier3_single
QB,Stetson Bennett IV LAR,tier3_single
QB,Bailey Zappe NYJ,tier3_single
QB,Aidan O'Connell LV,unresolved
QB,Hendon Hooker TEN,unresolved
QB,Chris Oladokun KC,unresolved
QB,Jake Haener KC,unresolved
QB,Tanner McKee PHI,tier3_single
QB,Riley Leonard IND,tier3_single
QB,Tommy DeVito NE,unresolved
QB,Shedeur Sanders CLE,tier3_single
QB,Will Howard PIT,tier3_single
QB,Kurtis Rourke SF,unresolved
QB,Cam Miller MIA,tier3_single
